feature,importance
fluid6h_input_total_ml_missing,0.0008862923
vital48h_gcs_min_missing,0.0008822047
fluid6h_input_rate_ml_per_hr_missing,0.00086975755
vital48h_gcs_max,0.0008644248
vital48h_resp_rate_min_missing,0.0008609718
fluid48h_net_rate_ml_per_hr_missing,0.00083991745
labs7d_wbc_std,0.00083068124
vital48h_gcs_mean_missing,0.0008143717
vital48h_spo2_min_missing,0.000793797
vital48h_resp_rate_mean_missing,0.000780018
fluid6h_output_urine_rate_ml_per_hr_missing,0.00072519697
fluid6h_net_rate_ml_per_hr_missing,0.00069240324
labs7d_lactate_max,0.0006505784
labs7d_wbc_max,0.000649001
vital48h_spo2_count,0.00063831656
fluid6h_output_urine_count_missing,0.000612571
fluid48h_input_rate_ml_per_hr_missing,0.0006035624
vital48h_mbp_last_missing,0.0006012317
vital48h_mbp_max_missing,0.0005953979
vital48h_tidal_volume_max,0.0005930478
hx30d_nsaids_any,0.00057020615
vital48h_spo2_std,0.0005622305
vital48h_shock_index_mean_missing,0.00055977644
labs7d_albumin_last,0.0005457658
vital48h_tidal_volume_min_missing,0.00054105476
vital48h_tidal_volume_last_missing,0.0005279971
vital48h_sbp_count_missing,0.00051489624
fluid6h_net_ml_missing,0.000503956
vital48h_mbp_value_mean_missing,0.0004834719
fluid48h_net_rate_ml_per_hr,0.0004668816
vital48h_mbp_mean_missing,0.00046234706
vital48h_mbp_min_missing,0.00041629703
vital48h_mbp_count_missing,0.00041477225
vital48h_gcs_count,0.00039264403
vital48h_heart_rate_max,0.0003891997
vital48h_tidal_volume_mean_missing,0.00037823152
fluid48h_output_urine_rate_ml_per_hr,0.00037669766
labs7d_creatinine_last,0.00037334007
vital48h_tidal_volume_count_missing,0.00036659196
vital48h_sbp_min_missing,0.00036540197
vital48h_tidal_volume_max_missing,0.00036394462
vital48h_dbp_min_missing,0.0003512733
fluid48h_output_urine_count_missing,0.00034287988
fluid48h_output_urine_rate_ml_per_hr_missing,0.00030820063
fluid48h_output_urine_total_ml_missing,0.00029165245
vital48h_sbp_mean_missing,0.00029112474
vital48h_dbp_value_mean_missing,0.00021102699
vital48h_dbp_max_missing,0.00020579669
vital48h_dbp_mean_missing,0.00016758617
vital48h_dbp_last_missing,0.0001636594
fluid48h_input_count,0.00016173691
fluid6h_input_rate_ml_per_hr,0.00013425054
vital48h_sbp_last_missing,0.00013395319
vital48h_sbp_max_missing,0.00013185703
vital48h_tidal_volume_std,0.00013032324
vital48h_sbp_value_mean_missing,0.00012964424
fluid48h_input_rate_ml_per_hr,0.00012032423
vital48h_temperature_min,0.00010827152
vital48h_dbp_count_missing,0.00010133446
vital48h_temperature_mean,0.00010066563
vital48h_temperature_last,9.840247e-05
vital48h_temperature_max,8.026384e-05
vital48h_temperature_value_mean,7.68283e-05
vital48h_temperature_count,7.388831e-05
vital48h_spo2_max,4.0504052e-05
labs7d_albumin_mean,2.3326511e-05
vital48h_pulse_pressure_mean_missing,1.6994885e-05
labs7d_albumin_max,8.5127485e-06
labs7d_albumin_std,1.0834374e-06
vital48h_pap_sbp_std_missing,2.5696898e-11
vital48h_cardiac_output_min_missing,2.4413617e-11
vital48h_cardiac_output_mean_missing,2.0072843e-11
vital48h_pap_mbp_std_missing,1.9469492e-11
vital48h_pap_dbp_std_missing,1.781663e-11
vital48h_cardiac_output_last_missing,1.7570998e-11
vital48h_pap_pulse_pressure_mean_missing,1.549823e-11
vital48h_pap_sbp_min_missing,1.5412982e-11
vital48h_cardiac_output_max_missing,1.4981199e-11
vital48h_sbp_std_missing,1.4761642e-11
vital48h_pap_sbp_max_missing,1.41771594e-11
vital48h_pap_dbp_mean_missing,1.3417185e-11
vital48h_cardiac_output_count_missing,1.3405572e-11
vital48h_pap_dbp_min_missing,1.20733345e-11
vital48h_pap_sbp_count_missing,1.1127492e-11
vital48h_pap_dbp_last_missing,1.0687042e-11
vital48h_mbp_count,1.0650811e-11
vital48h_pap_sbp_mean_missing,1.00626564e-11
vital48h_dbp_std_missing,1.0023083e-11
hx30d_vasopressors_any,9.289665e-12
vital48h_pap_dbp_max_missing,8.9488295e-12
vital48h_pap_dbp_count_missing,7.939459e-12
vital48h_pap_sbp_last_missing,7.452304e-12
hx30d_mannitol_any,4.7697068e-12
hx31to180d_aminoglycosides_any,1.6469645e-12
hx31to180d_vasopressors_any,8.250224e-13
hx31to180d_diuretics_any,0.0
hx31to180d_nsaids_any,0.0
hx30d_colloid_bolus_any,0.0
vital48h_pap_mbp_last_missing,0.0
hx30d_aminoglycosides_any,0.0
vital48h_minute_ventilation_max_missing,0.0
vital48h_minute_ventilation_min_missing,0.0
vital48h_minute_ventilation_count,0.0
vital48h_minute_ventilation_std,0.0
vital48h_minute_ventilation_mean,0.0
vital48h_minute_ventilation_max,0.0
vital48h_minute_ventilation_min,0.0
vital48h_minute_ventilation_last,0.0
vital48h_minute_ventilation_mean_missing,0.0
vital48h_cvp_mean_missing,0.0
vital48h_pap_mbp_max_missing,0.0
vital48h_minute_ventilation_last_missing,0.0
vital48h_pap_mbp_count_missing,0.0
vital48h_mbp_std_missing,0.0
vital48h_pap_mbp_min_missing,0.0
vital48h_cardiac_output_std_missing,0.0
vital48h_cvp_last_missing,0.0
dem_mar_SEPARATED,0.0
vital48h_minute_ventilation_std_missing,0.0
vital48h_minute_ventilation_count_missing,0.0
vital48h_cvp_std_missing,0.0
vital48h_cvp_max_missing,0.0
dem_mar_OTHER,0.0
vital48h_pap_mbp_mean_missing,0.0
hx31to180d_mech_vent_any,0.0
vital48h_cvp_count_missing,0.0
hx31to180d_colloid_bolus_any,0.0
hx31to180d_mannitol_any,0.0
vital48h_cvp_min_missing,0.0
vital48h_tidal_volume_count,0.0
