feature,importance
labs7d_lactate_std_missing,0.00064140774
emb_356,0.00064090366
vital48h_tidal_volume_max_missing,0.00063981203
vital48h_temperature_count_missing,0.00063973
emb_253,0.0006376081
emb_111,0.000637572
vital48h_temperature_min_missing,0.0006375388
emb_359,0.000636725
emb_291,0.00063235493
emb_226,0.00063110294
vital48h_dbp_last_missing,0.0006303537
fluid6h_output_urine_rate_ml_per_hr,0.00063018245
emb_155,0.00063005596
emb_100,0.00062997045
emb_323,0.0006268717
emb_365,0.00062667864
fluid6h_net_ml_missing,0.00062391703
emb_336,0.00062365294
vital48h_temperature_max_missing,0.0006227103
emb_224,0.0006216088
labs7d_wbc_min_missing,0.00062142045
vital48h_pap_mbp_count,0.000616014
emb_182,0.0006149952
vital48h_sbp_std_missing,0.00061410415
fluid48h_output_urine_rate_ml_per_hr_missing,0.00061405747
labs7d_bun_mean_missing,0.000613068
vital48h_tidal_volume_max,0.0006112822
emb_39,0.0006095974
emb_353,0.00060737145
emb_238,0.0006065262
vital48h_shock_index_mean_missing,0.00060632924
emb_186,0.0006039252
emb_256,0.0006015172
emb_372,0.00060077215
labs7d_plt_min_missing,0.0005999997
labs7d_creatinine_mean_missing,0.0005983654
labs7d_ph_max_missing,0.00059827016
vital48h_pap_dbp_std_missing,0.0005964117
fluid48h_input_total_ml_missing,0.00059538137
emb_162,0.0005932448
emb_161,0.0005926027
dem_sex_M,0.0005912557
emb_314,0.00058808224
dem_race_WHITE,0.000582959
emb_6,0.00058294734
labs7d_albumin_max_missing,0.00058236386
labs7d_bicarbonate_mean_missing,0.0005819869
emb_247,0.0005819795
emb_235,0.00058151915
vital48h_heart_rate_max_missing,0.0005811205
fluid6h_input_total_ml_missing,0.00057978096
emb_82,0.000579769
emb_121,0.00057881454
emb_22,0.00057705416
labs7d_lactate_max,0.00057511503
emb_130,0.0005749928
emb_105,0.0005734418
vital48h_resp_rate_min_missing,0.00057323475
vital48h_sbp_last_missing,0.0005722085
emb_298,0.0005713326
vital48h_minute_ventilation_std_missing,0.0005710444
emb_328,0.0005693363
labs7d_sodium_count_missing,0.0005692086
emb_285,0.0005690951
emb_156,0.0005672917
vital48h_pap_mbp_mean_missing,0.0005638101
vital48h_tidal_volume_std_missing,0.00056211464
emb_12,0.0005581731
emb_292,0.0005562488
vital48h_cardiac_output_count_missing,0.0005533935
emb_80,0.00055174256
emb_135,0.0005500048
emb_202,0.0005490675
emb_246,0.0005485056
emb_262,0.0005483218
labs7d_plt_mean_missing,0.0005480263
emb_66,0.0005477988
emb_165,0.0005476735
emb_381,0.00054392574
fluid48h_input_rate_ml_per_hr_missing,0.00054224744
labs7d_hgb_max_missing,0.00054215576
vital48h_sbp_count_missing,0.00054087606
fluid6h_input_count_missing,0.00053954736
emb_159,0.0005371398
emb_77,0.00053603016
emb_92,0.00053491845
emb_340,0.00053455686
emb_287,0.00053343235
vital48h_spo2_count_missing,0.0005333426
emb_78,0.0005330183
emb_164,0.00053076586
emb_185,0.0005305733
emb_339,0.00052595424
labs7d_bicarbonate_last_missing,0.0005217174
emb_335,0.0005201055
fluid6h_output_urine_rate_ml_per_hr_missing,0.0005186218
emb_115,0.00051844545
emb_69,0.0005172241
emb_94,0.0005167287
emb_232,0.0005148231
emb_4,0.0005113326
emb_40,0.0005108191
vital48h_spo2_max_missing,0.00050818274
emb_106,0.000506775
emb_315,0.0005065857
emb_221,0.0005037244
emb_83,0.0005035114
emb_37,0.0004999952
emb_52,0.00049734383
emb_258,0.0004964176
emb_362,0.0004962378
emb_230,0.0004958105
emb_233,0.0004950063
emb_237,0.00049175275
fluid48h_net_rate_ml_per_hr_missing,0.00049141556
labs7d_wbc_std_missing,0.0004909131
emb_254,0.0004904062
vital48h_minute_ventilation_min_missing,0.000488232
emb_281,0.0004858353
vital48h_pap_mbp_std,0.0004848898
labs7d_albumin_min_missing,0.00048289052
labs7d_albumin_mean_missing,0.00048095742
emb_374,0.00048081242
emb_244,0.0004776716
emb_349,0.0004756549
emb_191,0.00047509294
vital48h_temperature_mean_missing,0.00047253666
vital48h_resp_rate_count_missing,0.00046979825
vital48h_pap_sbp_min_missing,0.00046884158
vital48h_gcs_mean_missing,0.00046640038
vital48h_gcs_max,0.00046488972
labs7d_creatinine_last,0.00046458526
emb_46,0.00046413255
emb_212,0.00046308167
vital48h_pulse_pressure_mean_missing,0.00046293714
emb_296,0.00046195352
labs7d_lactate_mean_missing,0.00046131722
emb_36,0.00046082184
emb_268,0.0004604654
emb_271,0.00045802654
emb_333,0.00045725823
emb_192,0.00045574925
vital48h_minute_ventilation_max_missing,0.00045437642
emb_228,0.0004541584
emb_48,0.00045106784
labs7d_potassium_std_missing,0.00044906646
emb_380,0.0004478506
emb_205,0.00044611044
emb_280,0.00044531518
fluid48h_input_count_missing,0.00043955722
vital48h_pap_mbp_max,0.00043565582
emb_141,0.00043541097
emb_201,0.0004351041
emb_318,0.0004331247
labs7d_potassium_last_missing,0.00043289794
emb_55,0.00043225515
emb_187,0.00042740293
vital48h_cvp_count_missing,0.00042677773
emb_108,0.00042492684
